Species,Source_Type,Paper_Citation,Paper_DOI_or_URL,Dataset_Citation,Dataset_DOI_or_URL,Notes
Amazona_auropalliata,Dryad,"Dahlin, C. R., B. Killinger, M. Snipe, O. Small, B. Guenther, and L. Richwine. 2026. Decoding parrot duets: complex communication in yellow-naped amazons. Journal of Avian Biology 2026:e03552.",https://doi.org/10.1002/jav.03552,"Dahlin, C. R., B. Killinger, M. Snipe, O. Small, B. Guenther, and L. Richwine. 2025. Data from: Decoding parrot duets: complex communication in yellow-naped amazons. Dataset. Dryad.",https://doi.org/10.5061/dryad.rn8pk0prb,Confirmed by user with full citation
Balaena_mysticetus,Dryad,"Stafford, K. M., M. Castellote, M. Guerra, and C. L. Berchok. 2018. Extreme diversity in the songs of Spitsbergen's bowhead whales. Biology Letters 14(4):20180056.",https://doi.org/10.1098/rsbl.2018.0056,"Stafford, K. M., M. Castellote, M. Guerra, and C. L. Berchok. 2018. Data from: Extreme diversity in the songs of Spitsbergen's bowhead whales. Dataset. Dryad.",https://doi.org/10.5061/dryad.1ck400f,Both found and verified
Emballonura_alecto,ChiroVox,"G\xf6rf\xf6l, T., J. C.-C. Huang, G. Csorba, D. Gy\u0151r\xf6ssy, P. Est\xf3k, T. Kingston, K. L. Szabadi, et al. 2022. ChiroVox: A public library of bat calls. PeerJ 10:e12445.",https://doi.org/10.7717/peerj.12445,ChiroVox bat call library (chirovox.org) -- repository itself,https://www.chirovox.org,Repository is the dataset; no separate Zenodo/Dryad
Emballonura_monticola,ChiroVox,"G\xf6rf\xf6l, T., J. C.-C. Huang, G. Csorba, D. Gy\u0151r\xf6ssy, P. Est\xf3k, T. Kingston, K. L. Szabadi, et al. 2022. ChiroVox: A public library of bat calls. PeerJ 10:e12445.",https://doi.org/10.7717/peerj.12445,ChiroVox bat call library (chirovox.org) -- repository itself,https://www.chirovox.org,Repository is the dataset; no separate Zenodo/Dryad
Forpus_passerinus,Dryad,"Eggleston, R., N. Viloria, S. Delgado, A. Mata, H. Y. Guerrero, R. J. Kline, S. R. Beissinger, and K. S. Berg. 2022. Vocal babbling in a wild parrot shows life history and endocrine affinities with human infants. Proceedings of the Royal Society B 289(1976):20220592.",https://doi.org/10.1098/rspb.2022.0592,"Berg, K., and R. Eggleston. 2022. Vocal babbling in a wild parrot shows life history and endocrine affinities with human infants. Dataset. Dryad.",https://doi.org/10.5061/dryad.k0p2ngfb3,Both paper and dataset confirmed by user
Human_beatbox,Zenodo,"Delgado, A., S. McDonald, N. Xu, and M. Sandler. 2019. A new dataset for amateur vocal percussion analysis. In Proceedings of the 14th International Audio Mostly Conference: A Journey in Sound (AM '19), 17-23. New York, NY: Association for Computing Machinery.",https://doi.org/10.1145/3356590.3356844,"Delgado Luezas, A. 2021. AVP-LVT Vocal Percussion Dataset. Dataset. Zenodo.",https://doi.org/10.5281/zenodo.5578744,"Companion paper fully confirmed by user (Delgado et al. 2019, Audio Mostly, pp. 17-23). Dataset author/year confirmed separately (Delgado Luezas 2021, Zenodo)."
Hylobates_agilis,Dryad,"Morita, T., and H. Koda. 2019. Superregular grammars do not provide additional explanatory power but allow for a compact analysis of animal song. Royal Society Open Science 6(7):190139.",https://doi.org/10.1098/rsos.190139,"Morita, T., and H. Koda. 2019. Data from: Superregular grammars do not provide additional explanatory power but allow for a compact analysis of animal song. Dataset. Dryad.",https://doi.org/10.5061/dryad.mn12jv2,Both found and verified
Lonchura_striata,Zenodo,"Katahira, K., K. Suzuki, H. Kagawa, and K. Okanoya. 2013. A simple explanation for the evolution of complex song syntax in Bengalese finches. Biology Letters 9(6):20130842.",https://doi.org/10.1098/rsbl.2013.0842,"Katahira, K., K. Suzuki, H. Kagawa, and K. Okanoya. 2013. Data from: A simple explanation for the evolution of complex song syntax in Bengalese finches. Dataset. Zenodo.",https://zenodo.org/records/5022578,Wild white-rumped munia (WM) comparison recordings
Lonchura_striata_domestica,Zenodo,"Katahira, K., K. Suzuki, H. Kagawa, and K. Okanoya. 2013. A simple explanation for the evolution of complex song syntax in Bengalese finches. Biology Letters 9(6):20130842.",https://doi.org/10.1098/rsbl.2013.0842,"Katahira, K., K. Suzuki, H. Kagawa, and K. Okanoya. 2013. Data from: A simple explanation for the evolution of complex song syntax in Bengalese finches. Dataset. Zenodo.",https://zenodo.org/records/5022578,Domesticated Bengalese finch (BF) recordings
Megaptera_novaeangliae,Dryad,"Schall, E., K. Thomisch, O. Boebel, G. Gerlach, S. Mangia Woods, I. T. Roca, and I. Van Opzeeland. 2021. Humpback whale song recordings suggest common feeding ground occupation by multiple populations. Scientific Reports 11:18806.",https://doi.org/10.1038/s41598-021-98295-z,"Schall, E., K. Thomisch, O. Boebel, G. Gerlach, S. Mangia Woods, I. Roca, and I. Van Opzeeland. 2021. Humpback whale song presence in the Atlantic sector of the Southern Ocean. Dataset. Dryad.",https://doi.org/10.5061/dryad.rjdfn2z9f,Both found and verified
Monachus_monachus,JASA (no dataset found),"Amlin, A., L. Rendell, N. Pierantonio, C. Andr\xe9s-Herv\xedas, G. Notarbartolo di Sciara, G. Hastie, and J. Gonzalvo. 2025. Confirmed vocal activity of Mediterranean monk seals in the Inner Ionian Sea Archipelago, Greece. Journal of the Acoustical Society of America 157(4):3204-3213.",https://doi.org/10.1121/10.0036436,Data provided as supplementary material within Amlin et al. (2025); no separate Dryad/Zenodo repository.,"See paper supplement, https://doi.org/10.1121/10.0036436","User confirmed: data is in the paper's supplementary material, not a separate repository. Author list and paper citation confirmed correct."
Nomascus_gabriellae,Zenodo,"Clink, D. J., H. Cross-Jaya, J. Kim, A. H. Ahmad, M. Hong, R. Sala, H. Birot, C. Agger, T. T. Vu, H. N. Thi, and T. N. Chi. 2024. Benchmarking for the automated detection and classification of southern yellow-cheeked crested gibbon calls from passive acoustic monitoring data. bioRxiv 2024:2024-08.",https://www.biorxiv.org/content/10.1101/2024.08,"Clink, D., H. Cross-Jaya, J. Kim, A. H. Ahmad, M. Hong, R. Sala, H. Birot, C. Agger, T. T. Vu, H. N. Thi, T. N. Chi, and H. Klinck. 2024. Dataset for ""Benchmarking for the automated detection of southern yellow-cheeked crested gibbon calls from passive acoustic monitoring data."" Dataset. Zenodo.",https://doi.org/10.5281/zenodo.12706803,"MAJOR CORRECTION from user: first author is Clink not Agger; 2024 bioRxiv preprint, not 2026 Am J Primatol. Original citation was incorrect."
Nomascus_hainanus,Zenodo,"Dufourq, E., I. Durbach, J. P. Hansford, A. Hoepfner, H. Ma, J. V. Bryant, C. S. Stender, W. Li, Z. Liu, Q. Chen, Z. Zhou, and S. T. Turvey. 2021. Automated detection of Hainan gibbon calls for passive acoustic monitoring. Remote Sensing in Ecology and Conservation.",,"Dufourq, E., et al. 2021. Data for: Automated detection of Hainan gibbon calls for passive acoustic monitoring. Dataset. Zenodo.",https://zenodo.org/records/3991714,Both found and verified
Papio_papio,Zenodo,"Bonafos, G., P. Pudlo, J. M. Freyermuth, T. Legou, J. Fagot, S. Tronçon, and A. Rey. 2023. Detection and classification of vocal productions in large scale audio recordings. arXiv:2302.07640.",https://arxiv.org/abs/2302.07640,"Bonafos, G., P. Pudlo, J. M. Freyermuth, T. Legou, J. Fagot, S. Tronçon, and A. Rey. 2023. Guinea baboon vocalizations dataset automatically extracted with a deep neural network from natural audio recordings. Dataset. Zenodo.",https://zenodo.org/records/8239697,First author corrected by user: Guillem Bonafos (not H. Bonafos). arXiv ID confirmed: 2302.07640. Companion paper remains an arXiv preprint; publication status not yet confirmed.
