Species,Common_Name,XC_Catalog_Number,XC_URL,citation,Recording_Date,Location_Country,License,Notes
Callithrix_aurita,Buffy-tufted-ear Marmoset,XC1033128,https://xeno-canto.org/1033128,"Marcelo J Feliti, XC1033128. Accessible at www.xeno-canto.org/1033128.",,,,
Callithrix_aurita,Buffy-tufted-ear Marmoset,XC1166629,https://xeno-canto.org/1166629,"Guilherme Melo, XC1166629. Accessible at www.xeno-canto.org/1166629.",,,,
Callithrix_aurita,Buffy-tufted-ear Marmoset,XC1166630,https://xeno-canto.org/1166630,"Guilherme Melo, XC1166630. Accessible at www.xeno-canto.org/1166630.",,,,
Callithrix_aurita,Buffy-tufted-ear Marmoset,XC1166631,https://xeno-canto.org/1166631,"Guilherme Melo, XC1166631. Accessible at www.xeno-canto.org/1166631.",,,,
Carrion_Crow,Carrion Crow,XC234879,https://xeno-canto.org/234879,"Eddy Scheinpflug, XC234879. Accessible at www.xeno-canto.org/234879.",,,,
Carrion_Crow,Carrion Crow,XC341954,https://xeno-canto.org/341954,"david m, XC341954. Accessible at www.xeno-canto.org/341954.",,,,
Carrion_Crow,Carrion Crow,XC458184,https://xeno-canto.org/458184,"Louis A. Hansen, XC458184. Accessible at www.xeno-canto.org/458184.",,,,
Carrion_Crow,Carrion Crow,XC466390,https://xeno-canto.org/466390,"Marie-Lan Taÿ Pamart, XC466390. Accessible at www.xeno-canto.org/466390.",,,,
Carrion_Crow,Carrion Crow,XC535993,https://xeno-canto.org/535993,"Seynaeve Adriaan, XC535993. Accessible at www.xeno-canto.org/535993.",,,,
Carrion_Crow,Carrion Crow,XC689520,https://xeno-canto.org/689520,"Stanislas Wroza, XC689520. Accessible at www.xeno-canto.org/689520.",,,,
Carrion_Crow,Carrion Crow,XC844889,https://xeno-canto.org/844889,"david m, XC844889. Accessible at www.xeno-canto.org/844889.",,,,
Carrion_Crow,Carrion Crow,XC977166,https://xeno-canto.org/977166,"Johannes Worona, XC977166. Accessible at www.xeno-canto.org/977166.",,,,
Carrion_Crow,Carrion Crow,XC1011550,https://xeno-canto.org/1011550,"Martin Billard, XC1011550. Accessible at www.xeno-canto.org/1011550.",,,,
Cebus_malitiosus,Santa Marta White-fronted Capuchin,XC1106858,https://xeno-canto.org/1106858,"Guilherme Melo, XC1106858. Accessible at www.xeno-canto.org/1106858.",,,,
Cebus_malitiosus,Santa Marta White-fronted Capuchin,XC1173134,https://xeno-canto.org/1173134,"Guilherme Melo, XC1173134. Accessible at www.xeno-canto.org/1173134.",,,,
Cercopithecus_diana,Diana Monkey,XC960201,https://xeno-canto.org/960201,"Étienne Leroy, XC960201. Accessible at www.xeno-canto.org/960201.",,,,
Cercopithecus_diana,Diana Monkey,XC960202,https://xeno-canto.org/960202,"Étienne Leroy, XC960202. Accessible at www.xeno-canto.org/960202.",,,,
Chlorocebus_pygerythrus,Vervet Monkey,XC961506,https://xeno-canto.org/961506,"Stein Ø. Nilsen, XC961506. Accessible at www.xeno-canto.org/961506.",,,,
Chlorocebus_pygerythrus,Vervet Monkey,XC961507,https://xeno-canto.org/961507,"Stein Ø. Nilsen, XC961507. Accessible at www.xeno-canto.org/961507.",,,,
Chlorocebus_pygerythrus,Vervet Monkey,XC1039879,https://xeno-canto.org/1039879,"Marc Anderson, XC1039879. Accessible at www.xeno-canto.org/1039879.",,,,
Chlorocebus_pygerythrus,Vervet Monkey,XC1089539,https://xeno-canto.org/1089539,"Alain Malengreau, XC1089539. Accessible at www.xeno-canto.org/1089539.",,,,
Columba_livia,Rock Dove,XC200010,https://xeno-canto.org/200010,"Herman van der Meer, XC200010. Accessible at www.xeno-canto.org/200010.",,,,
Columba_livia,Rock Dove,XC270097,https://xeno-canto.org/270097,"Timo Schnabel, XC270097. Accessible at www.xeno-canto.org/270097.",,,,
Columba_livia,Rock Dove,XC541143,https://xeno-canto.org/541143,"Marie-Lan Taÿ Pamart, XC541143. Accessible at www.xeno-canto.org/541143.",,,,
Columba_livia,Rock Dove,XC781620,https://xeno-canto.org/781620,"Peter Boesman, XC781620. Accessible at www.xeno-canto.org/781620.",,,,
Columba_livia,Rock Dove,XC1029257,https://xeno-canto.org/1029257,"Agris Celmins, XC1029257. Accessible at www.xeno-canto.org/1029257.",,,,
Columba_livia,Rock Dove,XC1029258,https://xeno-canto.org/1029258,"Agris Celmins, XC1029258. Accessible at www.xeno-canto.org/1029258.",,,,
Columba_livia,Rock Dove,XC1029262,https://xeno-canto.org/1029262,"Agris Celmins, XC1029262. Accessible at www.xeno-canto.org/1029262.",,,,
Contopus_virens,Eastern Wood Pewee,XC429238,https://xeno-canto.org/429238,"Greg Irving, XC429238. Accessible at www.xeno-canto.org/429238.",,,,
Contopus_virens,Eastern Wood Pewee,XC429616,https://xeno-canto.org/429616,"Bates Estabrooks, XC429616. Accessible at www.xeno-canto.org/429616.",,,,
Contopus_virens,Eastern Wood Pewee,XC544558,https://xeno-canto.org/544558,"Jerome Fischer, XC544558. Accessible at www.xeno-canto.org/544558.",,,,
Contopus_virens,Eastern Wood Pewee,XC563444,https://xeno-canto.org/563444,"Russ Wigh, XC563444. Accessible at www.xeno-canto.org/563444.",,,,
Contopus_virens,Eastern Wood Pewee,XC563447,https://xeno-canto.org/563447,"Russ Wigh, XC563447. Accessible at www.xeno-canto.org/563447.",,,,
Contopus_virens,Eastern Wood Pewee,XC691330,https://xeno-canto.org/691330,"Christopher McPherson, XC691330. Accessible at www.xeno-canto.org/691330.",,,,
Contopus_virens,Eastern Wood Pewee,XC1014933,https://xeno-canto.org/1014933,"Stanislas Wroza, XC1014933. Accessible at www.xeno-canto.org/1014933.",,,,
Contopus_virens,Eastern Wood Pewee,XC1037302,https://xeno-canto.org/1037302,"Bobby Wilcox, XC1037302. Accessible at www.xeno-canto.org/1037302.",,,,
Contopus_virens,Eastern Wood Pewee,XC1135217,https://xeno-canto.org/1135217,"Mario Reyes Jr, XC1135217. Accessible at www.xeno-canto.org/1135217.",,,,
